http://arxiv.org/abs/1810.11764v1,Learning Sparse Neural Networks via Sensitivity-Driven Regularization,4
http://arxiv.org/abs/1802.03494v4,AMC,7
http://arxiv.org/abs/1707.01213v3,Data-Driven Sparse Structure Selection for Deep Neural Networks,7
http://arxiv.org/abs/1807.09810v1,Coreset-Based Neural Network Compression,19
http://arxiv.org/abs/1804.03294v3,A Systematic DNN Weight Pruning Framework using Alternating Direction Method of Multipliers,5
http://arxiv.org/abs/1711.05769v2,PackNet,4
http://arxiv.org/abs/1711.05908v3,NISP,7
http://arxiv.org/abs/1808.06866v1,Soft Filter Pruning for Accelerating Deep Convolutional Neural Networks,5
http://arxiv.org/abs/1608.08710v3,Pruning Filters for Efficient ConvNets,20
http://arxiv.org/abs/1611.06440v2,Pruning Convolutional Neural Networks for Resource Efficient Inference,11
http://arxiv.org/abs/1611.05162v4,Net-Trim,8
http://arxiv.org/abs/1705.07565v2,Learning to Prune Deep Neural Networks via Layer-wise Optimal Brain Surgeon,5
http://arxiv.org/abs/1611.05128v4,Designing Energy-Efficient Convolutional Neural Networks using Energy-Aware Pruning,6
http://arxiv.org/abs/1707.06342v1,ThiNet,6
http://arxiv.org/abs/1707.06168v2,Channel Pruning for Accelerating Very Deep Neural Networks,7
http://arxiv.org/abs/1708.06519v1,Learning Efficient Convolutional Networks through Network Slimming,6
http://arxiv.org/abs/1510.00149v5,Deep Compression,7
http://arxiv.org/abs/1608.04493v2,Dynamic Network Surgery for Efficient DNNs,9
http://arxiv.org/abs/1506.02626v3,Learning both Weights and Connections for Efficient Neural Networks,7
